id	text	category	priority	website	logo
155	Canyon bicycles	Frame manufacturer	0		
156	Carmichael Training Systems	Frame manufacturer	0		
157	Carrera bicycles	Frame manufacturer	0		
158	CatEye	Frame manufacturer	0		
159	Catrike	Frame manufacturer	1		
160	Centurion	Frame manufacturer	0		
161	CeramicSpeed	Frame manufacturer	0		
162	Cervélo	Frame manufacturer	0		
163	Chadwick	Frame manufacturer	0		
164	Challenge	Frame manufacturer	0		
165	Charge	Frame manufacturer	0		
166	Chase	Frame manufacturer	0		
167	Chater-Lea	Frame manufacturer	0		
168	Chicago Bicycle Company	Frame manufacturer	0		
169	Chris King	Frame manufacturer	0		
170	Chromag	Frame manufacturer	0		
171	Cignal	Frame manufacturer	0		
172	Cilo	Frame manufacturer	0		
173	Cinelli	Frame manufacturer	0		
174	Citizen Bike	Frame manufacturer	0		
175	City Bicycles Company	Frame manufacturer	0		
176	Civia	Frame manufacturer	0		
177	Clark-Kent	Frame manufacturer	0		
178	Claud Butler	Frame manufacturer	0		
179	Clean Bottle	Frame manufacturer	0		
180	Clement	Frame manufacturer	0		
181	Cloud Nine	Frame manufacturer	0		
182	Club Roost	Frame manufacturer	0		
183	Co-Motion Cycles	Frame manufacturer	0		
184	Coker Tire	Frame manufacturer	0		
185	Colnago	Frame manufacturer	0		
186	Competition Cycles Services	Frame manufacturer	0		
187	Condor	Frame manufacturer	0		
188	Conor	Frame manufacturer	0		
189	Continental	Frame manufacturer	0		
190	Contour Sport	Frame manufacturer	0		
191	Cook Bros. Racing	Frame manufacturer	0		
192	Cooper Bikes	Frame manufacturer	0		
193	Corima	Frame manufacturer	0		
194	Cortina Cycles	Frame manufacturer	0		
195	Craft	Frame manufacturer	0		
196	Crank Brothers	Frame manufacturer	0		
197	Crazy Creek	Frame manufacturer	0		
198	Create	Frame manufacturer	1		
199	Crescent Moon	Frame manufacturer	0		
200	Critical Cycles	Frame manufacturer	0		
201	Cube	Frame manufacturer	0		
202	CueClip	Frame manufacturer	0		
203	Cult	Frame manufacturer	0		
204	Currys	Frame manufacturer	0		
205	Cycle Dog	Frame manufacturer	0		
206	Cycle Force Group	Frame manufacturer	0		
207	Cycle Stuff	Frame manufacturer	0		
208	CycleAware	Frame manufacturer	0		
209	CycleOps	Frame manufacturer	0		
210	CyclePro	Frame manufacturer	0		
211	Cycles Devinci	Frame manufacturer	0		
212	Cycles Follis	Frame manufacturer	0		
213	Cycleurope	Frame manufacturer	0		
214	Cyclo	Frame manufacturer	1		
215	Cycloc	Frame manufacturer	0		
216	Cyfac	Frame manufacturer	0		
217	CygoLite	Frame manufacturer	0		
218	Cytosport	Frame manufacturer	0		
219	DAJO	Frame manufacturer	0		
220	DIG BMX	Frame manufacturer	0		
221	DMR Bikes	Frame manufacturer	0		
222	DNP	Frame manufacturer	0		
223	DT Swiss	Frame manufacturer	0		
224	DZ Nuts	Frame manufacturer	0		
225	Da Bomb Bikes	Frame manufacturer	0		
226	Dahon	Frame manufacturer	0		
227	Dawes Cycles	Frame manufacturer	2		
228	De Rosa	Frame manufacturer	0		
229	DeBernardi	Frame manufacturer	0		
230	DeFeet	Frame manufacturer	0		
231	Deco	Frame manufacturer	0		
232	Deda Elementi	Frame manufacturer	0		
233	Deity	Frame manufacturer	0		
234	Delta	Frame manufacturer	0		
235	Deluxe	Frame manufacturer	0		
236	Demolition	Frame manufacturer	0		
237	Den Beste Sykkel	Frame manufacturer	0		
238	Derby Cycle	Frame manufacturer	0		
239	Dermatone	Frame manufacturer	0		
240	Dero	Frame manufacturer	0		
241	Deuter	Frame manufacturer	0		
242	Di Blasi Industriale	Frame manufacturer	1		
243	Dia-Compe	Frame manufacturer	0		
244	DiaTech	Frame manufacturer	0		
245	Diamant	Frame manufacturer	0		
246	Diamondback	Frame manufacturer	0		
247	Dicta	Frame manufacturer	0		
248	Dimension	Frame manufacturer	0		
249	Discwing	Frame manufacturer	0		
250	Doberman	Frame manufacturer	0		
251	Dodici Milano	Frame manufacturer	0		
252	Dolan	Frame manufacturer	0		
253	Dorel Industries	Frame manufacturer	0		
254	Dual Eyewear	Frame manufacturer	0		
255	Dualco	Frame manufacturer	0		
256	Dunelt Motorcycles	Frame manufacturer	0		
257	Dynacraft BSC	Frame manufacturer	0		
258	Dyno	Frame manufacturer	0		
259	E-Case	Frame manufacturer	0		
260	E. C. Stearns Bicycle Agency	Frame manufacturer	0		
261	EBC	Frame manufacturer	0		
262	EK USA	Frame manufacturer	0		
263	ENVE Composites	Frame manufacturer	0		
264	ESI	Frame manufacturer	0		
265	EVS Sports	Frame manufacturer	0		
266	Eagle Bicycle Manufacturing Company manufacturing-company	Frame manufacturer	0		
267	Eagles Nest Outfitters	Frame manufacturer	0		
268	East Germany	Frame manufacturer	0		
269	Eastern	Frame manufacturer	0		
270	Ebisu	Frame manufacturer	0		
271	Eddy Merckx	Frame manufacturer	0		
272	Edinburgh Bicycle Co-operative operative	Frame manufacturer	0		
273	EighthInch	Frame manufacturer	0		
274	Electra Bicycle Company	Frame manufacturer	0		
275	Elevn Technologies	Frame manufacturer	1		
276	Elite SRL	Frame manufacturer	0		
277	Ellis Briggs	Frame manufacturer	0		
278	Ellsworth Handcrafted Bicycles bicycles	Frame manufacturer	0		
279	Emilio Bozzi	Frame manufacturer	0		
280	Endurance Films	Frame manufacturer	0		
281	Enduro	Frame manufacturer	0		
282	Endurox	Frame manufacturer	0		
283	Energizer	Frame manufacturer	1		
284	Enigma Titanium	Frame manufacturer	0		
285	Epic	Frame manufacturer	0		
286	Ergon	Frame manufacturer	0		
287	Esbit	Frame manufacturer	0		
288	Euro Asia Imports (EAI)	Frame manufacturer	0		
289	Europa	Frame manufacturer	0		
290	Eveready	Frame manufacturer	0		
291	Evil	Frame manufacturer	0		
292	Excelsior Motor Company	Frame manufacturer	0		
293	Excess Components	Frame manufacturer	0		
294	Exustar	Frame manufacturer	0		
295	FBM	Frame manufacturer	0		
296	FSA (Full Speed Ahead)	Frame manufacturer	1		
297	Failure	Frame manufacturer	0		
298	Fairdale	Frame manufacturer	0		
299	Falcon	Frame manufacturer	0		
300	Falcon Cycles	Frame manufacturer	0		
301	Fast Wax	Frame manufacturer	0		
302	Fat City Cycles	Frame manufacturer	0		
303	Fatback	Frame manufacturer	0		
304	Federal	Frame manufacturer	0		
305	Felt	Frame manufacturer	0		
306	FiberFix	Frame manufacturer	0		
307	Fiction	Frame manufacturer	0		
308	Field	Frame manufacturer	0		
309	Finish Line	Frame manufacturer	0		
310	Finite	Frame manufacturer	0		
311	Firenze	Frame manufacturer	0		
312	Firmstrong	Frame manufacturer	0		
313	First Endurance	Frame manufacturer	0		
314	Fit bike Co.	Frame manufacturer	0		
315	Fizik	Frame manufacturer	0		
316	Fleet Velo	Frame manufacturer	1		
